title,source,published_at,summary,category,url
"OpenCode-2 提升代码生成基准表现","OpenCode Lab","2026-07-10","OpenCode-2 在多语言代码生成基准上超过上一代模型，重点提升了函数级补全和错误修复能力，并在低延迟推理场景下保持较高准确率。","Code LLM","https://example.com/opencode2"
"MedVision-LM 发布医疗影像多模态模型","MedAI Weekly","2026-06-28","MedVision-LM 将CT图像与电子病历联合建模，在肺结节筛查和报告生成任务上取得改进，强调临床可解释性和医生协同流程。","Multimodal","https://example.com/medvision-lm"
"AgentPlanner 研究长周期任务规划","AI Research Digest","2026-07-02","AgentPlanner 通过分层记忆和任务分解策略提升智能体在长周期任务中的成功率，尤其在工具调用链较长时显著减少错误传播。","Agent","https://example.com/agentplanner"
"RAG-Graph 提出结构化检索增强方案","ArXiv Monitor","2026-07-15","RAG-Graph 将知识图谱节点与向量检索结果融合，先粗召回后重排序，在事实一致性和可追溯性方面优于仅向量检索基线。","RAG","https://example.com/rag-graph"
"VideoGenX 支持分钟级视频生成","Vision Frontier","2026-07-20","VideoGenX 通过时序压缩和关键帧重建实现分钟级视频生成，重点改善人物动作连贯性和镜头切换稳定性。","Video Generation","https://example.com/videogenx"
"TinyMoE 发布面向边缘设备的小模型","Edge AI News","2026-06-18","TinyMoE 采用稀疏激活与量化联合优化，在边缘GPU和高端手机芯片上实现低功耗推理，延迟与精度平衡较好。","Efficiency","https://example.com/tinymoe"
"SafetyBench-Next 更新模型安全评测","SafeAI Report","2026-07-08","SafetyBench-Next 增加越狱提示、隐私泄露和高风险建议三类测试集，用于评估模型对齐能力和防护鲁棒性。","AI Safety","https://example.com/safetybench-next"
"VectorSQL 推出向量与关系查询一体化","Data Infra Weekly","2026-07-12","VectorSQL 在同一查询接口中支持向量相似度检索和SQL过滤条件，适合RAG系统做元数据过滤与语义召回组合。","Data Infra","https://example.com/vectorsql"
"SpeechAgent v3 强化实时语音理解","Audio AI Brief","2026-07-05","SpeechAgent v3 在实时语音转写、说话人分离和口语纠错方面提升明显，适合会议纪要和客服质检场景。","Speech","https://example.com/speechagent-v3"
"RoboReasoner 在具身控制任务刷新成绩","Embodied AI Review","2026-06-30","RoboReasoner 将视觉语言模型与运动控制器协同训练，在抓取、搬运和路径规划任务中提升任务成功率。","Robotics","https://example.com/roboreasoner"
"LongContext-XL 发布 1M token 长上下文能力","ModelScope News","2026-07-22","LongContext-XL 通过稀疏注意力和分块缓存机制支持百万级上下文，适用于长文档问答、代码仓分析和审计。","Foundation Model","https://example.com/longcontext-xl"
"OpenRAG-Eval 开源端到端评测框架","LLM Ops Weekly","2026-07-18","OpenRAG-Eval 提供检索命中率、答案忠实度和延迟监控指标，支持构建RAG基线并对比不同embedding与重排方案。","RAG","https://example.com/openrag-eval"
